PK,NOMBRE,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,ORIENTACION,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
19960,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Arganzuela,"Metro: Méndez Álvaro (línea 6)Bus: 148, 102, 152",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c3592355c51c010VgnVCM2000000c205a0aRCRD,ESTRELLA DENEBOLA,CALLE,V,5,,28045,5,DELICIAS,2,ARGANZUELA,442110,4471943,40.39419901357015,-3.6834210425750737
138166,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Barajas,"Metro: Barajas (línea 8)Bus: 105 , 115",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5fe55f463b81c010VgnVCM1000000b205a0aRCRD,ALHAURIN,CALLE,V,5,,28042,4,TIMON,21,BARAJAS,450367,4480523,40.473907649051704,-3.5855350682202047
135224,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Carabanchel,"Bus: 47 , 108 , 118",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5165f463b81c010VgnVCM1000000b205a0aRCRD,CIDRO,CALLE,V,5,,28044,6,BUENAVISTA,11,CARABANCHEL,436678,4468888,40.36815527702884,-3.7458547551539705
13893,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Chamartín,"Bus: 7 , 11 , 40 , 52",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e9e65a0f8161c010VgnVCM1000000b205a0aRCRD,ALFONSO XIII,AVENIDA,V,128,ENTRADA JUNTO GASOLINERA,28016,4,HISPANOAMERICA,5,CHAMARTIN,443493,4478903,40.45887476564644,-3.6664670709154676
43200,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Ciudad Lineal,"Bus: 70 , 106",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0da9f0bde551c010VgnVCM2000000c205a0aRCRD,DAROCA,AVENIDA,V,104,JUNTO AL CEMENTERIO DE LA ALMUDENA,28032,1,VENTAS,15,CIUDAD LINEAL,446583,4474581,40.41826330408995,-3.630928382853009
13890,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Fuencarral - El Pardo,"Metro: Avda. IlustraciónBus: 67 , 83 , 133 , 124",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30175a0f8161c010VgnVCM1000000b205a0aRCRD,UBEDA,CALLE,V,6,C/V ISLA DE AROSA,28034,3,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,439385,4481739,40.48225121586361,-3.71646391915977
169981,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Hortaleza,Bus: 104,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=494129ea9281c010VgnVCM1000000b205a0aRCRD,TOMAS REDONDO,CALLE,V,8,,28033,6,VALDEFUENTES,16,HORTALEZA,446782,4480121,40.47006424276577,-3.6277914577312402
67093,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Latina,"Bus: 119 , 138",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2aa5cee4051c010VgnVCM2000000c205a0aRCRD,ANGEL SANZ BRIZ,AVENIDA,V,4,,28047,1,LOS CARMENES,10,LATINA,437528,4472442,40.400246158259336,-3.7361726816379295
5568093,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Moncloa - Aravaca,"Bus: 83, 133",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6df1a8633e96210VgnVCM2000000c205a0aRCRD,SENDA DEL REY,PASEO,V,0,ACCESO AVDA. PUERTA DE HIERRO SALIDA 6 A-6 FACULTAD DE VETERINARIA,28040,3,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,437223,4478185,40.451963071822604,-3.7403391301631927
4910478,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Moratalaz,"Metro: Vinateros (línea 9)Bus: 30 , 32 , 71 , 113",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67bc4d69197c9110VgnVCM1000000b205a0aRCRD,ARROYO DE LA MEDIA LEGUA,CALLE,V,72,,28030,3,MARROQUINA,14,MORATALAZ,444742,4473981,40.414609663505665,-3.6513204448781815
32555,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Puente de Vallecas,"Bus: 63 , 143 , E",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=179a444a2951c010VgnVCM2000000c205a0aRCRD,JOSE PAULETE,CALLE,V,43,,28038,6,NUMANCIA,13,PUENTE DE VALLECAS,444456,4471701,40.39406006570005,-3.654492342880955
4566529,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de San Blas-Canillejas,"Bus: 28 , 105",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c34261715dd22110VgnVCM1000000b205a0aRCRD,SAN ROMUALDO,CALLE,V,20,C/V c/ Maratón,28037,1,SIMANCAS,20,SAN BLAS-CANILLEJAS,447183,4476794,40.4407089,-3.6230157
67286,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Usera,"Bus: 6 , 60 , 78 , 81",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=39ca5cee4051c010VgnVCM2000000c205a0aRCRD,CRISTO DE LA VICTORIA,CALLE,V,245,,28026,7,PRADOLONGO,12,USERA,439761,4470047,40.37882471603663,-3.7096418581029984
146362,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Vicálvaro,"Metro: San Cipriano (línea 9) Bus: 100 , 106",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=458b8f90a581c010VgnVCM1000000b205a0aRCRD,SEPIOLITA,CALLE,V,6,CON VUELTA POLIDEPORTIVO,28032,,AMBROZ,,VICALVARO,449194,4473078,40.40676752985184,-3.598776933365321
13891,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Villa de Vallecas,Bus: 130,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=86375a0f8161c010VgnVCM1000000b205a0aRCRD,LUIS I,CALLE,V,40,,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,445345,4469689,40.375993577726476,-3.6438334111886936
23605,Punto Limpio Fijo del Ayuntamiento de Madrid. Distrito de Villaverde,Bus: 79,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d26592355c51c010VgnVCM2000000c205a0aRCRD,BASCUÑUELOS,CALLE,V,3,,28021,,SAN ANDRES,,VILLAVERDE,439666,4465583,40.33860368148312,-3.7103387295498003
,,,,,,,,,,,,,,,,,,
