location,parameter,Muestra1_1,Muestra2_1,Muestra1_2,Muestra2_2,Muestra1_3,Muestra2_3,Muestra1_4,Muestra2_4,Muestra1_5,Muestra2_5,Muestra1_6,Muestra2_6,Muestra1_7,Muestra2_7,Muestra1_8,Muestra2_8,Muestra1_9,Muestra2_9,Muestra1_10,Muestra2_10,Muestra1_11,Muestra2_11,Muestra1_12,Muestra2_12
Viveros de la Villa,Turb,"1,10","1,20","1,40","1,30","1,20","1,50","1,30","1,40","1,40","1,30","1,40","1,30","1,10","1,10","1,60","1,50","1,60","1,80","2,40","2,20","2,00","1,80","1,80","2,00"
La China,Turb,"0,79","1,20","1,10","1,20","0,93","1,20","1,20","1,10","1,10","1,30","1,10","1,10","1,10","1,10","1,30","1,00","0,95","1,30","0,97","0,90","0,92","0,96","1,10","0,93"
La Gavia,Turb,"2,60","2,10","2,10","2,10","3,70","2,10","2,50","2,40","2,80","2,80","2,50","2,20","2,40","2,90","3,40","3,30","3,50","3,50","6,70","3,50","3,00","2,40","3,60","5,20"
Rejas,Turb,"1,50","1,90","2,50","2,60","2,40","3,10","2,60","3,10","2,30","2,20","1,60","1,70","1,90","3,10","4,40","2,50","2,10","2,10","2,00","2,00","1,10","0,98","0,96","0,91"
Viveros de la Villa,Ecoli,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
La China,Ecoli,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
La Gavia,Ecoli,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Rejas,Ecoli,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Viveros de la Villa,Leg,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
La China,Leg,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
La Gavia,Leg,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
Rejas,Leg,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
Viveros de la Villa,SS,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4
La China,SS,,<4,,<1,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4
La Gavia,SS,,<4,,<4,,<4,,<4,,"5,1",,<4,,<4,,<4,,<4,,"5,9",,<4,,<4
Rejas,SS,,<4,,"5,2",,6,,"5,1",,"7,3",,<4,,<4,,"7,8",,<4,,<4,,<4,,<4
Viveros de la Villa,Nem,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
La China,Nem,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
La Gavia,Nem,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
Rejas,Nem,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
