location,district,district_URI_from_Wikidata,parameter,parameter_URI_from_Wikidata,Muestra1_1,Muestra2_1,Muestra1_2,Muestra2_2,Muestra1_3,Muestra2_3,Muestra1_4,Muestra2_4,Muestra1_5,Muestra2_5,Muestra1_6,Muestra2_6,Muestra1_7,Muestra2_7,Muestra1_8,Muestra2_8,Muestra1_9,Muestra2_9,Muestra1_10,Muestra2_10,Muestra1_11,Muestra2_11,Muestra1_12,Muestra2_12
Viveros de la Villa,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,turbidity,https://wikidata.org/entity/Q898574,"1,10","1,20","1,40","1,30","1,20","1,50","1,30","1,40","1,40","1,30","1,40","1,30","1,10","1,10","1,60","1,50","1,60","1,80","2,40","2,20","2,00","1,80","1,80","2,00"
La China,"Calle de Embajadores, Madrid",https://wikidata.org/entity/Q5740826,turbidity,https://wikidata.org/entity/Q898574,"0,79","1,20","1,10","1,20","0,93","1,20","1,20","1,10","1,10","1,30","1,10","1,10","1,10","1,10","1,30","1,00","0,95","1,30","0,97","0,90","0,92","0,96","1,10","0,93"
La Gavia,Villa de Vallecas,https://wikidata.org/entity/Q1947988,turbidity,https://wikidata.org/entity/Q898574,"2,60","2,10","2,10","2,10","3,70","2,10","2,50","2,40","2,80","2,80","2,50","2,20","2,40","2,90","3,40","3,30","3,50","3,50","6,70","3,50","3,00","2,40","3,60","5,20"
Rejas,Barajas,https://wikidata.org/entity/Q807230,turbidity,https://wikidata.org/entity/Q898574,"1,50","1,90","2,50","2,60","2,40","3,10","2,60","3,10","2,30","2,20","1,60","1,70","1,90","3,10","4,40","2,50","2,10","2,10","2,00","2,00","1,10","0,98","0,96","0,91"
Viveros de la Villa,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,Escherichia coli,https://wikidata.org/entity/Q25419,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
La China,"Calle de Embajadores, Madrid",https://wikidata.org/entity/Q5740826,Escherichia coli,https://wikidata.org/entity/Q25419,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
La Gavia,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Escherichia coli,https://wikidata.org/entity/Q25419,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Rejas,Barajas,https://wikidata.org/entity/Q807230,Escherichia coli,https://wikidata.org/entity/Q25419,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
Viveros de la Villa,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,Legionella,https://wikidata.org/entity/Q158013,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
La China,"Calle de Embajadores, Madrid",https://wikidata.org/entity/Q5740826,Legionella,https://wikidata.org/entity/Q158013,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
La Gavia,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Legionella,https://wikidata.org/entity/Q158013,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
Rejas,Barajas,https://wikidata.org/entity/Q807230,Legionella,https://wikidata.org/entity/Q158013,,,,,,,,No detectado,,,,,,,,No detectado,,,,,,,,No detectado
Viveros de la Villa,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,suspended solids,https://wikidata.org/entity/Q905309,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4
La China,"Calle de Embajadores, Madrid",https://wikidata.org/entity/Q5740826,suspended solids,https://wikidata.org/entity/Q905309,,<4,,<1,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4,,<4
La Gavia,Villa de Vallecas,https://wikidata.org/entity/Q1947988,suspended solids,https://wikidata.org/entity/Q905309,,<4,,<4,,<4,,<4,,"5,1",,<4,,<4,,<4,,<4,,"5,9",,<4,,<4
Rejas,Barajas,https://wikidata.org/entity/Q807230,suspended solids,https://wikidata.org/entity/Q905309,,<4,,"5,2",,6,,"5,1",,"7,3",,<4,,<4,,"7,8",,<4,,<4,,<4,,<4
Viveros de la Villa,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,Intestinal nematodes and pulmonary tuberculosis.,https://wikidata.org/entity/Q44746774,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
La China,"Calle de Embajadores, Madrid",https://wikidata.org/entity/Q5740826,Intestinal nematodes and pulmonary tuberculosis.,https://wikidata.org/entity/Q44746774,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
La Gavia,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Intestinal nematodes and pulmonary tuberculosis.,https://wikidata.org/entity/Q44746774,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
Rejas,Barajas,https://wikidata.org/entity/Q807230,Intestinal nematodes and pulmonary tuberculosis.,https://wikidata.org/entity/Q44746774,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1,,,,<1
